Question,Answer
O que e fundo de investimento,Um fundo de investimento e um conjunto de recursos de diversos investidores com os mesmos interesses e objetivos
Como posso escolher a melhor opcao de fundo de investimento,Existem diversos tipos de fundos de investimento para atender ao perfil adequado de cada investidor  conservador moderado ou arrojadoPara auxiliar na escolha do produto que atenda suas necessidades e expectativas acesse a ferramenta Investimentos Orientados
Onde obter dicas sobre o investimento adequado ao perfil de investidor,Em nossa pagina de investimentos disponibilizamos o roteiro para o investidor Consulte
Como ocorre a cobranca do imposto IOF nos fundos de investimento,Os fundos de investimento com liquidez diaria estao sujeitos a incidencia de IOF nos resgates efetuados ate o 29 dia da aplicacao conforme tabela da legislacao vigente no mercado Quanto maior o tempo de permanencia no fundo menor a aliquota A partir do 30 dia as aplicacoes estao isentas de IOF Nao havera incidencia de IOF nos fundos de acoes
Posso cadastrar resgate automatico para todas as modalidades de fundos de investimento BB,Apenas os fundos com carteira de curto prazo cujo prazo medio da carteira seja igual ou inferior a 365 diasnbsp permitem cadastramento de resgate automaticoModalidades BB Curto Prazo 200BB Curto Prazo 50 milBB Referenciado DI Social 50BB Referenciado DInbsp500BB Renda Fixa LP 100BB Renda Fixa 500
Como posso esclarecer minhas duvidas sobre fundos de investimento,Voce podera contatar seu gerente de relacionamento ou ligar para a Central de Relacionamento Banco do Brasil40040001 capitais e regioes metropolitanas08007290001 demais localidades
Como devo proceder para programar minhas aplicacoes e quais fundos permitem o cadastramento,Acesse o bbcombr  sua conta  opcao investimentos  fundos  aplicacao  escolha o fundo  selecione programada a partir de o valor e o dia do mes para aplicacao A aplicacao programada esta disponivel para todos os fundos de investimento BB
Como e calculada a rentabilidade dos fundos de acoes,A valorizacao das cotas e calculada pela variacao media das acoes que compoem a carteira do fundo de investimento Conforme instrucao CVM 46508 a valorizacao das cotas e calculada pelo valor da cota de fechamento do mercado
Quais itens podem ser financiados por meio do Finame Procaminhoneiro,Podem ser financiados caminhoes chassis caminhoestrator carretas cavalosmecanicos reboques semirreboques tanques e afins devidamente registrados no orgao de transito competente e carrocerias para caminhoes cadastrados no CFI Credenciamento de Fabricantes Informatizado do BNDESTambem podem ser financiados o seguro do bem e o sistema de rastreamento novoquando contratados em conjunto com equipamentos financiaveis Clique aqui para consultar mais informacoes sobre os itens que podem ser financiados 
Quem pode obter o financiamento Finame Procaminhoneiro,Caminhoneiro autonomo residente e domiciliado no Pais empresario individual ou microempresas do segmento de transporte rodoviario de cargas com registro ativo na ANTT Agencia Nacional de Transporte TerrestreConsulte mais informacoes sobre quem pode ser beneficiado com este financiamento
O Finame Procaminhoneiro e direcionado exclusivamente ao segmento de transporte rodoviario de carga,Sim O Finame Procaminhoneiro foi desenvolvido especificamente para o apoio ao segmento de transporte rodoviario de carga Para solicitar o financiamento o transportador devera estar inscrito no Registro Nacional de Transportadores Rodoviarios de Cargas RNTRC
Poderao ser financiados equipamentos usados por meio do Finame Procaminhoneiro,Sim Poderao ser financiados equipamentos usados No entanto somente sera financiada a aquisicao de carrocerias usadas separadas da unidade motorizada Quando o vendedor for pessoa juridica devera ser apresentada a nota fiscal e o fabricante do bem deve estar cadastrado no BNDESNeste caso o proponente devera comprovar ser proprietario ou arrendatario do veiculo de transporte de carga onde sera acoplada a carroceria
Posso financiar um veiculo importado por meio do Finame Procaminhoneiro,Nao Apenas sao financiados veiculos de fabricacao nacional utilizados no transporte rodoviario de carga
Preciso ter o RNTRC Registro Nacional de Transportes Rodoviario de Cargas para financiamento por meio do Finame Procaminhoneiro,Sim O registro deve estar ativo na Agencia Nacional de Transportes Terrestres ANTT
Quais sao os requisitos minimos para pleitear o financiamento Finame Procaminhoneiro,1 A pessoa fisica deve estar inscrita no Registro Nacional de Transportadores Rodoviarios de Carga RNTRC como transportador autonomo de carga2 Correntista BB3 Registro ativo na ANTT4 O veiculo a ser financiado devera estar em situacao regular nos orgaos de transito competentes5 Estar em dia com as obrigacoes fiscais tributarias e sociais6 Ter capacidade de pagamentoVeja mais informacoes sobre o Finame Procaminhoneiro
Quais garantias podem ser oferecidas para contratacao do Finame Procaminhoneiro,Sao aceitas como garantia cumulativamentenbsp1 Alienacao do bem objeto do financiamentonbsp2 Contratacao do Fundo Garantidor para Investimentos FGI com cobertura de 80 do valor da operacaonbsp3 Garantia fidejussoria aval ou fianca
Qual a periodicidade dos pagamentos das prestacoes do Finame Procaminhoneiro,Os juros e as parcelas de amortizacao do capital sao pagos mensalmente dia 15 Durante a fase de carencia os juros serao pagos trimestralmente
Qual o percentual maximo de financiamento por meio do Finame Procaminhoneiro,Ate 70 do valor dos itens financiaveis
Qual o prazo de financiamento para a linha Finame Procaminhoneiro, Veiculos zero km ou equipamentos novos ate 96 meses Ate 7 anos de fabricacao maximo de 72 meses Entre 8 e 10 anos ate 60 meses Para todos os prazos incluido 6 meses de carencia
E possivel refinanciar a operacao de Finame Procaminhoneiro,Sim Operacoes contratas ate 31122014 estao autorizadas pelo BNDES a serem refinanciadas O cliente devera procurar uma agencia BB para formalizar pedido de refinanciamento
Como faco para simular o financiamento de veiculo junto ao Banco do Brasil,O BB oferece diversos canais para que voce possa simularo financiamento com toda a comodidade e seguranca Alem do portal bbcombr voce pode acessar o icone Financie seu Carro disponivel no aplicativoBanco do Brasil para smartphones com sistema iOS e Android terminais deautoatendimento Central de Atendimento BB 40041011 e qualquer agencia do Bancodo Brasil
Ja possuo uma operacao de financiamento de veiculo no BB e estou pensando em trocar de carro Como devo fazer,Existem duas possibilidades A primeira opcao e a linha de credito Troca com Troco Por meio dela e possivel complementar o valor necessario para comprar um novo automovel e em alguns casos obter credito em dinheiro para utilizar como quiser A segunda opcao e quando nao ha necessidade de obter mais credito para aquisicao do novo carro Neste caso sera realizado um procedimento chamado Substituicao de Garantia Converse com seu gerente
Posso fazer uma simulacao do BB Credito Imobiliario,Sim Na pagina Solucoes em Imoveis wwwbbcombrimoveis clique no link Simulador e escolha as opcoes de acordo com suas necessidades
Quais sao as condicoes para refinanciamento de operacoes de Finame Procaminhoneiro,Nao ter sido objeto de adiantamento de honra pelo FGI ou outros fundos garantidores e ter sido contratada ate 31122014
Quem e o publicoalvo para refinanciamento da linha Finame Procaminhoneiro,Pessoas fisicas residentes e domiciliadas no Pais do segmento de transporte rodoviario de carga empresarios individuais empresas individuais de responsabilidade limitada sociedades associacoes fundacoes e empresas arrendadoras desde que sejam do segmento de transporte rodoviario de carga e sua Receita Operacional Bruta ou anualizada fosse de ate 24 milhoes de reais a epoca da operacao original
Quais parcelas podem ser refinanciadas na linha Finame Procaminhoneiro,As doze proximas parcelas de amortizacao ou as parcelas restantes se houver menos de 12 parcelas a vencer
Qual sera a nova carencia nas operacoes de refinanciamento da linha Finame Procaminhoneiro,A nova carencia sera de doze meses a partir da homologacao do contrato de refinanciamento junto ao BNDES
Caso o contrato de Finame Procaminhoneiro possua menos de 12 prestacoes a vencer mesmo assim sera possivel o refinanciamento,Sim Nesse caso a nova quantidade de parcelas a vencer sera igual a quantidade de prestacoes em aberto da operacao atual Por exemplo em um contrato com 7 prestacoes a vencer  com o refinanciamento sera concedida carencia de 12 meses sendo iniciada a seguir a cobranca junto ao cliente de 7 novas parcelas
Durante a carencia nas operacoes de refinanciamento para a linha Finame Procaminhoneiro existira algum tipo de cobranca pagamento de amortizacao taxa de juros,Nao Nao havera qualquer pagamento Os juros sobre o saldo devedor remanescente do contrato original serao capitalizados
Qual a taxa de juros para o refinanciamento da linha Finame Procaminhoneiro,Igual a do contrato original ou 6 aa seis por cento ao ano a que for maior
Existem valores minimos e maximos de financiamento,Sim O Banco disponibiliza opcoes para financiamentos de R 20 mil a R 5 milhoes Nas linhas Programa Minha Casa Minha Vida e Aquisicao FGTS os limites de financiamento sao diferenciados e variam de R 10 mil a R 171 mil de acordo com a renda familiar e a localizacao do imovel
Quais sao os tipos de imoveis que posso financiar,O BB Credito Imobiliario permite o financiamento de imoveis residenciais e comerciais novos ou usados
Posso utilizar meu FGTS no BB Credito Imobiliario,Sim No financiamento de imoveis residenciais e conforme regras do Manual do FGTS e possivel utilizar os recursos para entrada amortizacao e liquidacao do contrato
Com quem posso compor renda para financiar um imovel,No Banco e permitida a composicao de renda entre ate tres proponentes com vinculo de parentesco consanguineo ou por afinidade entre si inclusive entre casais homoafetivos
Onde posso verificar quais os documentos necessarios para contratar o BB Credito Imobiliario,No site do BB wwwbbcombrimoveis voce encontra a relacao de documentos necessarios para dar inicio a contratacao Se voce ja tiver feito uma simulacao pode procurar a sua agencia de relacionamento e solicitar a relacao de documentos personalizada
Como funciona o novo modelo de taxas do BB Credito Imobiliario,O modelo de taxas BOMPRATODOS bonifica a sua pontualidade no pagamento e amplia esse beneficio se voce receber seu salario no Banco do Brasil O calculo da bonificacao e feito automaticamente todos os meses sem a necessidade de qualquer acao por parte do cliente 
Quais sao as vantagens de contratar o BB Credito Imobiliario,Alem de contar com assessoria especializada condicoes diferenciadas e agilidade na contratacao o Banco permite que voce financie as despesas da compra do seu imovel ITBI custos de cartorios e tarifas da operacao podem ser incluidos no seu financiamento e pagos nos mesmos prazos e taxas da sua operacaoAlem disso voce pode escolher um mes do ano para pular o pagamento da parcela de capital e dos juros Neste mes serao pagos os seguros e a tarifa de administracao do contratoO BB tambem oferece carencia de ate seis meses para pagar a primeira parcela quando serao pagos apenas os juros seguros e tarifa de administracao do contrato
Ja tenho um financiamento imobiliario Posso fazer outro,Sim Basta comprovar renda suficiente para assumir os financiamentos
Como me informar sobre a minha proposta do BB Credito Imobiliario,As informacoes sobre as propostas podem ser obtidas na Agencia BB onde voce entregou os documentos e efetuou a contratacao ou na pela Central de Atendimento Banco do Brasil 40040001 capitais e regioes metropolitanas ou 0800 729 0001
Possuo certificadoscautelas que contem a expressao acoes ao portador Como faco para resgatalos,Apesar da proibicao da circulacao de titulos ao portador promovida pela Lei 802190 esses titulos ainda podem conferir direito a certa quantidade de acoes nominativas ou fracoes de acoes dependendo da evolucao do capital da empresa ao longo do tempoO BB e responsavel pela substituicao de titulos emitidos pelas seguintes empresas o proprio BB o Besc a Petrobras a Petrominas a Petroquisa a CPFL Geracao e a CPFL PaulistaSe seus certificados forem de uma dessas empresas apresente os originais na agencia do BB de sua preferencia para que possamos conduzir sua transformacao em acoes nominativas ou fracoes de acoesIndependentemente do resultado da transformacao dos titulos se em acoes nominativas ou fracoes havera necessidade de confeccao de cadastro no BB assim nao se esqueca de levar Se pessoa fisica registro geral com fepublica CPF comprovante de residencia e de rendimentos Se pessoa juridica contrato ou estatuto social em vigor comprovante de faturamento alem de registro geral CPF comprovante de residencia de seus representantesO prazo medio para conclusao do processo e de 60 dias
