Question,Answer
Quanto tempo demora para abrir a conta pela internet,Apos o envio da proposta seus documentos e sua selfie serao analisadosSe todas as informacoes forem validadas a conta estara aberta em ate 3 dias uteis nbspnbspnbsp
Quais sao os beneficios de abrir uma conta corrente pela internet,Voce nao precisa ir ate uma agencia e pode abrir a sua conta de forma segura de qualquer lugar e a qualquer hora do diaAlem disso os seus dados ficam salvos podendo interromper o processo e continuar em outro momento de onde parou nbspnbspnbsp
Qual a diferenca de uma conta aberta na agencia e na internet,Nao ha diferenca entre uma conta corrente aberta em uma agencia e a conta aberta pela internet
O que pode impedir a abertura de conta corrente pela internet,Alguns motivos como CPF com pendencia na Receita Federal Documentos invalidos ou ilegiveis Restricoes impostas por LeiSe a sua conta nao puder ser aberta voce sera informado por email ou SMS
Sou estrangeiro Posso abrir uma conta pela internet,Sim E so apresentar o seu RNE Registro Nacional de Estrangeiros como documento de identificacao e morar no Brasil para seguir com o pedido para abertura de conta
Para abrir uma conta na internet posso cadastrar o email ou celular de outra pessoa,Nao E necessario informar o seu numero de celular e o seu emailIsso garante a seguranca da sua contacorrente
Para abertura de conta pela internet por que o Itau pede documento de identificacao assinatura e foto,Esses dados servem para garantir a sua seguranca e comprovar a sua identidade
Para abertura de conta pela internet o que devo fazer se nao tiver comprovante de residencia em meu nome,Voce pode utilizar o comprovante de residencia em nome de seu pai ou de sua mae 
Pela internet posso abrir quais tipos de conta,Pela internet voce podera abrir uma conta corrente individual para pessoa fisica Contas correntes conjuntas contas poupanca ou conta salario podem ser abertas em qualquer agencia do Itau
Ja enviei minha proposta de abertura de conta pela internet mas nao tenho resposta Como proceder,Proposta enviada ha mais de 3 dias uteis envie uma mensagem para nos que te retornamos com o staus da abertura da sua contaProposta enviada ha menos de 3 dias uteis aguarde que em breve voce recebera um email ou SMS
Como tiro uma boa foto dos documentos para abertura de conta pela internet,Veja nossas dicas Documento de identificacao envie a frente e o verso separadamente Assinatura num papel branco com caneta azul ou preta assine duas vezes seu nome igual esta no documento de identificacao Selfie envie uma imagem que apareca seu rosto inteiro sem oculos chapeu bone ou outros acessorios Tire a foto em local iluminado e de preferencia com fundo claro
Quais sao os comprovantes de endereco aceitos para abertura de conta pela internet,Os comprovantes aceitos sao Contas de agua luz telefone ou gas Demonstrativos ou comunicados do INSS ou da SRF Fatura de cartao de credito Extratodemonstrativo bancario de outras contas Extrato do FGTS Guiacarne do IPTU ou IPVA Infracao de transitoEsses documentos devem estar em seu nome ou de seus pais e de ate 60 dias atras
Como e feito o pagamento de cheque no caixa da agencia,Os cheques apresentados para pagamento no guiche de caixa da agencia o beneficiarioendossatario deve apresentar documento com foto que o identifiquem Se for pessoa juridica e necessario que o endosso contenha alem da assinatura preferencialmente o carimbo com o nome da empresa Se nao tiver o carimbo o representante legal que sera identificado pela apresentacao dos documentos da empresa devera escrever o nome da empresa junto a sua assinaturaOs endossos anteriores se houver podem conter apenas assinaturas e em se tratando de Pessoa Juridica tambem o nome da empresa para conferencia e liberacao do pagamentoO pagamento pode ser efetuado no guiche de caixa da agencia em dinheiro no caso de cheques que nao estejam cruzados eou a expressao para credito em conta ou outra equivalente ou ainda para quitacao de contas ou titulos
Qual a finalidade de um cheque cruzado,Quando o cheque estiver cruzado podera ser utilizado somente para deposito em conta E se o cheque nao estiver cruzado significa que pode ser utilizado tambem para saque no guiche de caixa da agencia
